sample,subgroup,aggregation,target_parameter,field,value
total_cno4,all,dose,slope,dose,0.203;0.43675;1.1745;2.763;4.046
total_cno4,all,dose,slope,overall_att,0.0393167238607367
total_cno4,all,dose,slope,overall_att_se,0.0143234160628426
total_cno4,all,dose,slope,overall_acrt,0.0204058957750753
total_cno4,all,dose,slope,overall_acrt_se,0.00325098159654734
total_cno4,all,dose,slope,att.d,0.00573773516348526;0.0149138239144544;0.0438749339723261;0.10623308148426;0.156598522628617
total_cno4,all,dose,slope,att.d_se,0.0149380237600026;0.0157606750601561;0.0184137546742883;0.0336822046792568;0.0522653063638237
total_cno4,all,dose,slope,att.d_crit.val,2.67030990768116
total_cno4,all,dose,slope,acrt.d,0.0392559946565526;0.0392559946565526;0.0392559946565526;0.0392559946565526;0.0392559946565526
total_cno4,all,dose,slope,acrt.d_se,0.0127095418820612;0.0127095418820612;0.0127095418820612;0.0127095418820612;0.0127095418820612
total_cno4,all,dose,slope,acrt.d_crit.val,2.18910575702651
age3_cno4,<18 to 29,dose,slope,dose,0.203;0.443;1.207;2.828;4.054
age3_cno4,<18 to 29,dose,slope,overall_att,0.0379754780596547
age3_cno4,<18 to 29,dose,slope,overall_att_se,0.0256976781419417
age3_cno4,<18 to 29,dose,slope,overall_acrt,0.0393237178297984
age3_cno4,<18 to 29,dose,slope,overall_acrt_se,0.00394618378887935
age3_cno4,<18 to 29,dose,slope,att.d,-0.0288931449952459;-0.0107750304744025;0.0469009674169489;0.169273732576478;0.261827100920453
age3_cno4,<18 to 29,dose,slope,att.d_se,0.0278262017409763;0.032870485298893;0.0243917712493639;0.0462705700938098;0.0779700454262455
age3_cno4,<18 to 29,dose,slope,att.d_crit.val,2.99861643094903
age3_cno4,<18 to 29,dose,slope,acrt.d,0.0754921438368474;0.0754921438368474;0.0754921438368474;0.0754921438368474;0.0754921438368474
age3_cno4,<18 to 29,dose,slope,acrt.d_se,0.0181331137390697;0.0181331137390697;0.0181331137390697;0.0181331137390697;0.0181331137390697
age3_cno4,<18 to 29,dose,slope,acrt.d_crit.val,2.18424314435063
age3_cno4,30-39,dose,slope,dose,0.203;0.441;1.186;2.778;4.054
age3_cno4,30-39,dose,slope,overall_att,0.0697654275490871
age3_cno4,30-39,dose,slope,overall_att_se,0.0236109128463129
age3_cno4,30-39,dose,slope,overall_acrt,0.0397648577836455
age3_cno4,30-39,dose,slope,overall_acrt_se,0.00528983873752698
age3_cno4,30-39,dose,slope,att.d,0.0031963013434007;0.021364989807563;0.0782375650420206;0.199769296281291;0.297177894937892
age3_cno4,30-39,dose,slope,att.d_se,0.0387586572827853;0.0338775499248883;0.0207428971481932;0.0373485546408046;0.0634629987353
age3_cno4,30-39,dose,slope,att.d_crit.val,2.08448959569042
age3_cno4,30-39,dose,slope,acrt.d,0.0763390271603457;0.0763390271603457;0.0763390271603457;0.0763390271603457;0.0763390271603457
age3_cno4,30-39,dose,slope,acrt.d_se,0.0208141036466211;0.0208141036466211;0.0208141036466211;0.0208141036466211;0.0208141036466211
age3_cno4,30-39,dose,slope,acrt.d_crit.val,2.22409729741761
age3_cno4,40 to >44,dose,slope,dose,0.203;0.438;1.18;2.763;4.046
age3_cno4,40 to >44,dose,slope,overall_att,0.0255081274223667
age3_cno4,40 to >44,dose,slope,overall_att_se,0.0125488161614801
age3_cno4,40 to >44,dose,slope,overall_acrt,0.0157856407422971
age3_cno4,40 to >44,dose,slope,overall_acrt_se,0.00391750823888812
age3_cno4,40 to >44,dose,slope,att.d,-0.000554355212073052;0.00658206473896354;0.0291149311375557;0.077187070637517;0.11614888679573
age3_cno4,40 to >44,dose,slope,att.d_se,0.0142755910388921;0.0112115777601068;0.0147042393800035;0.0325479104947391;0.0549703475148218
age3_cno4,40 to >44,dose,slope,att.d_crit.val,2.90498405391522
age3_cno4,40 to >44,dose,slope,acrt.d,0.0303677444724961;0.0303677444724961;0.0303677444724961;0.0303677444724961;0.0303677444724961
age3_cno4,40 to >44,dose,slope,acrt.d_se,0.0149785063979389;0.0149785063979389;0.0149785063979389;0.0149785063979389;0.0149785063979389
age3_cno4,40 to >44,dose,slope,acrt.d_crit.val,1.95996398454005
