spec,estimand,coefficient,outcome,beta_log_points,se_cluster_cno4,p_value,ci95_low_log_points,ci95_high_log_points,effect_pct,ci95_low_pct,ci95_high_pct,nobs,clusters,occupations,periods,r2,weights,notes
1. Main DiD,"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_parados,0.08909484566307069,0.020671251936867224,1.6319206657982438e-05,0.04857919186681093,0.12961049945933045,9.318433520263735,4.9778502447993755,13.838489542858156,23734,377,377,63,0.9946080643552409,,
2. Main + occupation trends,"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_parados,-0.003204124232625099,0.01202105736810488,0.789821333320539,-0.026765396674110663,0.020357148208860466,-0.319899650466382,-2.641037790273637,2.056576818158118,23734,377,377,63,0.9981535398887696,,Adds CNO4-specific linear trends
3. log(parados + 1),"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_parados_p1,0.09363045984328376,0.021123550466577337,9.31401069995971e-06,0.05222830092879218,0.13503261875777534,9.8153858976886,5.361625662750091,14.457411832833888,23751,377,377,63,0.9862042249901243,,Keeps zero-parados rows
4. Weighted by pre parados,"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_parados,0.04308863927310813,0.025917543042733557,0.09640696734037875,-0.007709745090649638,0.09388702363686591,4.403043284797192,-0.7680101237073411,9.843564164295127,23734,377,377,63,0.9986669520482121,pre_mean_parados,Occupation weights are pre-Sep-2022 mean parados
5. Event Nov 2022,"High exposure (>p75) vs zero exposure, post Nov 2022",did_post,ln_parados,0.09118841194843622,0.02093188271684895,1.3219719231866902e-05,0.050161921823412274,0.13221490207346015,9.547538646754017,5.144133389106242,14.13535721628223,23734,377,377,63,0.994618248628509,,Post starts Dec 2022
6. Top decile,"High exposure (>p90) vs zero exposure, post Sep 2022",did_post,ln_parados,0.08007575880353643,0.03090824277066176,0.009576497378707364,0.01949560297303938,0.14065591463403349,8.336913931587752,1.9686883260084054,15.102852776685282,19080,303,303,63,0.99453358561821,,
7. Continuous exposure,"Exposure x post Sep 2022, all occupations, per 10pp exposure",exposure_nearest_10pp_post,ln_parados,0.02654221130779612,0.006574412658629878,5.409321348727808e-05,0.01365636249688156,0.03942806011871068,2.689759303720951,1.3750036545075783,4.021566320182912,31605,502,502,63,0.9949760414614577,,
8. Cosine weighted exposure,"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_parados,0.09974231220658128,0.02133073972142224,2.9253975961107395e-06,0.05793406235259369,0.14155056206056887,10.488616571059817,5.9645122900198855,15.205875325266248,21343,339,339,63,0.9945275637955525,,
9. RF exposure,"RF top quartile vs RF bottom quartile, post Sep 2022",did_post,ln_parados,0.15049987386726896,0.020624898877828344,2.942561986052683e-13,0.1100750720667254,0.19092467566781252,16.24151584845277,11.6361874906308,21.03682784652705,15797,251,251,63,0.9954675630040049,,RF exposure has no zero-exposure occupations
10. Nearest bottom quartile control,"High exposure (>p75) vs bottom exposure quartile, post Sep 2022",did_post,ln_parados,0.08909484566307069,0.020671251936867224,1.6319206657982438e-05,0.04857919186681093,0.12961049945933045,9.318433520263735,4.9778502447993755,13.838489542858156,23734,377,377,63,0.9946080643552409,,
11. 2022 onward sample,"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_parados,0.09265263681382781,0.020361982552881113,5.357564086344149e-06,0.05274315101018082,0.1325621226174748,9.708058366586725,5.415885070829574,14.17499423810209,19214,377,377,51,0.9953716263681327,,Drops 2021 recovery period
12. Pre-period placebo,"Fake post Jan 2022, actual post-AI months excluded",did_post,ln_parados,-0.005231776728568623,0.01119948041002871,0.6403964310270478,-0.027182758332224895,0.01671920487508765,-0.5218114820434661,-2.6816632098378146,1.6859752972521846,7909,377,377,21,0.9981721241130775,,Uses only months through Sep 2022
13. Contracts outcome,"High exposure (>p75) vs zero exposure, post Sep 2022",did_post,ln_contratos_p1,0.12340599372635645,0.03014058140038869,4.233601888792143e-05,0.06433045418159462,0.18248153327111827,13.134364614259454,6.644475166768138,20.01919871288993,23751,377,377,63,0.9686444612068339,,"Proxy for hiring/labor demand, not unemployment"
